Date,Close/Last,Volume,Open,High,Low,Day
02/24/2020,100.46,130939940,100.16,101.96,99.40,0
02/25/2020,98.64,124381880,101.32,101.73,97.92,1
02/26/2020,98.98,104808040,98.51,100.73,98.02,2
02/27/2020,94.22,162879860,96.72,98.75,94.14,3
02/28/2020,94.19,189875940,90.73,94.49,90.56,4
03/02/2020,97.70,135233020,95.32,97.73,93.50,5
03/03/2020,95.45,150689820,98.77,99.82,94.40,6
03/04/2020,98.79,95458380,97.33,98.90,96.10,7
03/05/2020,96.20,94964200,96.65,98.04,95.50,8
03/06/2020,95.05,105471600,93.75,95.54,93.48,9
03/09/2020,90.03,156264640,88.69,93.14,88.06,10
03/10/2020,94.59,142666200,93.54,94.71,90.91,11
03/11/2020,91.04,112936620,92.89,93.57,90.08,12
03/12/2020,83.83,226924200,86.10,88.25,83.75,13
03/13/2020,89.25,176194500,87.75,89.32,84.03,14
03/16/2020,84.46,178345300,82.08,87.97,81.30,15
03/17/2020,90.39,218342600,88.77,92.89,84.46,16
03/18/2020,91.50,192904360,87.50,92.08,87.25,17
03/19/2020,94.05,207998800,93.00,97.25,91.63,18
03/20/2020,92.30,196357000,96.32,97.85,91.04,19
03/23/2020,95.14,156169780,91.39,95.97,90.60,20
03/24/2020,97.01,142941600,97.57,97.75,95.02,21
03/25/2020,94.29,129581460,96.03,97.51,94.29,22
03/26/2020,97.77,124702360,95.10,97.82,94.46,23
03/27/2020,95.01,107757940,96.54,96.99,95.00,24
03/30/2020,98.20,122521740,96.14,98.68,95.62,25
03/31/2020,97.49,102472520,98.22,99.65,97.20,26
04/01/2020,95.39,82437500,96.65,97.25,94.65,27
04/02/2020,95.94,86719700,95.08,96.38,94.50,28
04/03/2020,95.33,72197400,95.56,96.32,94.46,29
04/06/2020,99.88,115463620,96.80,99.93,96.50,30
04/07/2020,100.58,102279660,100.86,101.79,99.88,31
04/08/2020,102.15,79546260,101.05,102.20,100.56,32
04/09/2020,102.14,93112340,102.22,102.65,100.88,33
04/13/2020,108.44,134334180,102.00,109.00,101.90,34
